Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
JyXn_GCGM2DsNYIzgzQrDw,2022-10-10 21:00:35.200622,Da Gennaro,italian,4,1201,129 Mulberry St,10013,40.71832,-73.99794
IErfGS0DASSJfYU73m0Sqg,2022-10-10 21:00:35.200640,Malatesta Trattoria,italian,4,1325,649 Washington St,10014,40.73285,-74.00847
tLZfepIfSf0a80zHQTbTGQ,2022-10-10 21:00:35.200657,Trattoria Zero Otto Nove,italian,4,841,2357 Arthur Ave,10458,40.854779,-73.888474
5EQOEAkH2Qh3Rv1TcnE7yA,2022-10-10 21:00:35.200684,Fiaschetteria Pistoia,italian,4,97,114 Christopher St,10014,40.73316,-74.00537
RG5atiZtuNtpDu6GrNUQGw,2022-10-10 21:00:35.200703,NORMA Gastronomia Siciliana,italian,4,70,801 9th Ave,10019,40.76563298237293,-73.98769143895947
Lesv5BG0_0-8bB49cAjMkg,2022-10-10 21:00:35.200734,Roberto's,italian,4,283,603 Crescent Ave,10458,40.85372,-73.88834
iQo5aJwTL_ZrXCdPFKq-RA,2022-10-10 21:00:35.200752,Isle of Capri,italian,4,272,1028 3rd Ave,10065,40.76283,-73.96602
zjglOaCY8xQu3s2eKnLFzw,2022-10-10 21:00:35.200783,Mozzarella & Vino,italian,4,263,33 W 54th St,10019,40.76204,-73.97718
KCBfW6sWl9Gx-LvMff08jg,2022-10-10 21:00:35.200801,Osteria Morini,italian,4,1255,218 Lafayette St,10012,40.7219179851303,-73.9976472073402
aSprnLY-6GkMk1cuv0TMeA,2022-10-10 21:00:35.200821,Al Di La Trattoria,italian,4,938,248 5th Ave,11215,40.675332643247,-73.981340475038
JOvcJqD5eCFrGjFa6k7vpQ,2022-10-10 21:00:35.200841,Zia Maria - Chelsea,italian,4,296,318 W 23rd St,10011,40.7454863,-73.9993392
IxwuIDcpRa7EpQs7V481Ww,2022-10-10 21:00:35.200859,Il Gattopardo,italian,4,211,13-15 W 54th St,10019,40.7614994602915,-73.976308999227
Vm6_cXz8hbvZhot0m1aaRg,2022-10-10 21:00:35.200879,Italianissimo Ristorante,italian,4,142,307 E 84th St,10028,40.7765,-73.95197
Ty1MvJz88DeNmX0eDHeMyQ,2022-10-10 21:00:35.200897,Pietro's,italian,4,132,232 E 43rd St,10017,40.7506055,-73.9721964
eQdjZQaLnjItmn9suEEeIA,2022-10-10 21:00:35.200915,Patricia's,italian,4,586,1082 Morris Park Ave,10461,40.84912,-73.8533099
